class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.11601136470454662,0.5898461469260075,0,8.6,2.30501694191759,,
,,0,33.63,2.131427054968886,,
,,1,43.95,1.6587680719150142,,
,,2,47.67,1.494587428653583,,
,,3,50.32,1.3961316194778053,,
,,4,52.63,1.3127548172831915,,
,,5,55.03,1.2418528608620738,,
,,6,57.43,1.190208433154292,,
,,7,59.58,1.137628543872041,,
,,8,60.67,1.0974472724972442,,
,,9,62.27,1.058763700742691,,
,,10,63.02,1.0296892723717248,,
,,11,64.46,1.000669424907087,,
,,12,65.37,0.9755337563947367,,
,,13,66.06,0.9556980380615868,,
,,14,66.66,0.9315054959382493,,
,,15,67.19,0.9222932465541096,,
,,16,67.9,0.8991174612182398,,
,,17,68.28,0.8871981925286424,,
,,18,69.25,0.8723491913023086,,
,,19,69.62,0.8632225064804759,,
,,20,,,,
