round,FedAvg_test_acc,FedAvg_test_loss,FedMedian_test_acc,FedMedian_test_loss,Krum_test_acc,Krum_test_loss
0,8.6,2.305016929730059,8.6,2.305016929730059,8.6,2.305016929730059
0,8.6,2.305016929730059,8.6,2.305016929730059,8.6,2.305016929730059
0,8.6,2.305016929730059,22.26,2.2606094789962037,8.6,2.305016929730059
0,8.6,2.305016929730059,22.26,2.2606094789962037,8.6,2.305016929730059
0,31.38,2.1391419625510806,8.6,2.305016929730059,8.6,2.305016929730059
0,31.38,2.1391419625510806,8.6,2.305016929730059,8.6,2.305016929730059
0,31.38,2.1391419625510806,22.26,2.2606094789962037,8.6,2.305016929730059
0,31.38,2.1391419625510806,22.26,2.2606094789962037,8.6,2.305016929730059
1,37.16,1.7616968695728923,29.69,1.95871274730268,8.6,2.305016929730059
2,42.84,1.5838303063243342,34.73,1.7555031281309768,8.6,2.305016929730059
3,46.51,1.457953898289714,38.47,1.674927238839122,8.6,2.305016929730059
4,48.63,1.3946891341346521,41.16,1.5859114365836682,8.6,2.305016929730059
5,51.65,1.3319151904255437,44.32,1.526250250042437,8.6,2.305016929730059
6,51.92,1.2815176345669805,46.14,1.4754984401666318,8.6,2.305016929730059
7,53.83,1.2387227073264198,46.95,1.417096054972932,8.6,2.305016929730059
8,55.82,1.1906322747373734,48.56,1.3907139263214015,8.6,2.305016929730059
9,58.18,1.1450752096054273,49.36,1.3541542967668356,8.6,2.305016929730059
10,59.05,1.116132789716934,51.29,1.3173378007099652,8.6,2.305016929730059
11,60.64,1.0765271123986655,52.19,1.2862443522142526,8.6,2.305016929730059
12,61.73,1.063569118420537,53.6,1.2502983088691395,8.6,2.305016929730059
13,62.35,1.0448364495469358,54.47,1.2200151986588303,8.6,2.305016929730059
14,63.37,1.0273269513925425,55.83,1.202063327780166,8.6,2.305016929730059
15,62.51,1.0236600700277871,56.93,1.1774239102110695,8.6,2.305016929730059
16,64.96,0.9931892891661428,55.82,1.1826405005333143,8.6,2.305016929730059
17,64.61,0.9938409482709135,58.86,1.1311451747013739,8.6,2.305016929730059
18,65.54,0.9658721824423574,59.96,1.1028260184933965,8.6,2.305016929730059
19,65.97,0.9584394213490592,60.63,1.0938436815533013,8.6,2.305016929730059
20,66.09,0.9561473178787353,61.42,1.0744877229102503,8.6,2.305016929730059
21,65.77,0.9460685879658586,62.06,1.056063159014851,8.6,2.305016929730059
22,67.6,0.9165006790298242,62.63,1.0434173377938927,8.6,2.305016929730059
23,66.63,0.932878754009454,62.62,1.03471788278403,8.6,2.305016929730059
24,67.27,0.9134240557972234,63.28,1.019840823004421,8.6,2.305016929730059
25,67.23,0.9146365538572732,63.6,1.0159039990589642,8.6,2.305016929730059
26,68.7,0.8905975991925492,64.09,1.0043727346121694,8.6,2.305016929730059
27,68.3,0.896302276145155,63.66,1.0072777895881726,8.6,2.305016929730059
28,69.33,0.8755860171569422,64.86,0.9867812568387284,8.6,2.305016929730059
29,68.65,0.885959719221432,65.99,0.9581617118832403,8.6,2.305016929730059
30,69.92,0.8563513782458564,66.05,0.9714505205900905,8.6,2.305016929730059
31,69.18,0.8741065180911043,65.73,0.9687485091221599,8.6,2.305016929730059
32,70.26,0.8505298836162677,66.04,0.946589742986539,8.6,2.305016929730059
33,70.12,0.8555892006086465,66.42,0.9467178796426937,8.6,2.305016929730059
34,69.8,0.8567877675588138,66.74,0.9415319042083935,8.6,2.305016929730059
35,71.03,0.836776402049933,67.35,0.9173556481496975,8.6,2.305016929730059
36,70.82,0.8294136545147759,67.85,0.9071291262349381,8.6,2.305016929730059
37,70.78,0.8304725322670068,67.32,0.9159177585531728,8.6,2.305016929730059
38,70.92,0.8289791485562492,68.09,0.9099559349754748,8.6,2.305016929730059
39,71.23,0.8233793950118957,67.19,0.9152550927747172,8.6,2.305016929730059
40,71.29,0.8223786562585983,68.32,0.897402336612677,8.6,2.305016929730059
41,71.82,0.8086920148267532,68.0,0.9102234891809213,8.6,2.305016929730059
42,71.95,0.8021858298359588,68.41,0.8898857545357542,8.6,2.305016929730059
43,72.47,0.7946862575535576,68.32,0.8923682776122047,8.6,2.305016929730059
44,72.67,0.7873972307759732,67.85,0.9061318755911562,8.6,2.305016929730059
45,72.55,0.7876535354140467,69.66,0.8643746269396699,8.6,2.305016929730059
46,72.7,0.7807303945096536,69.83,0.8590883531699927,8.6,2.305016929730059
47,72.9,0.7821372801693864,69.26,0.867831908951933,8.6,2.305016929730059
48,72.93,0.7770688756586264,69.18,0.8664729078166401,8.6,2.305016929730059
49,72.61,0.7795776523911534,70.26,0.8441361648777422,8.6,2.305016929730059
