attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
none,0.12341626522463485,0.6761164945818928,3,0,8.13,2.307925724754699,,
,,,,0,8.13,2.307925724754699,,
,,,,1,8.13,2.307925724754699,,
,,,,2,8.13,2.307925724754699,,
,,,,3,8.13,2.307925724754699,,
,,,,4,8.13,2.307925724754699,,
,,,,5,8.13,2.307925724754699,,
,,,,6,8.13,2.307925724754699,,
,,,,7,8.13,2.307925724754699,,
,,,,8,8.13,2.307925724754699,,
,,,,9,8.13,2.307925724754699,,
,,,,10,8.13,2.307925724754699,,
,,,,11,8.13,2.307925724754699,,
,,,,12,8.13,2.307925724754699,,
,,,,13,8.13,2.307925724754699,,
,,,,14,8.13,2.307925724754699,,
,,,,15,8.13,2.307925724754699,,
,,,,16,8.13,2.307925724754699,,
,,,,17,8.13,2.307925724754699,,
,,,,18,8.13,2.307925724754699,,
,,,,19,8.13,2.307925724754699,,
,,,,20,8.13,2.307925724754699,,
,,,,21,8.13,2.307925724754699,,
,,,,22,8.13,2.307925724754699,,
,,,,23,8.13,2.307925724754699,,
,,,,24,8.13,2.307925724754699,,
,,,,25,8.13,2.307925724754699,,
,,,,26,8.13,2.307925724754699,,
,,,,27,8.13,2.307925724754699,,
,,,,28,8.13,2.307925724754699,,
,,,,29,8.13,2.307925724754699,,
,,,,30,8.13,2.307925724754699,,
,,,,31,8.13,2.307925724754699,,
,,,,32,8.13,2.307925724754699,,
,,,,33,8.13,2.307925724754699,,
,,,,34,8.13,2.307925724754699,,
,,,,35,8.13,2.307925724754699,,
,,,,36,8.13,2.307925724754699,,
,,,,37,8.13,2.307925724754699,,
,,,,38,8.13,2.307925724754699,,
,,,,39,8.13,2.307925724754699,,
,,,,40,8.13,2.307925724754699,,
,,,,41,8.13,2.307925724754699,,
,,,,42,8.13,2.307925724754699,,
,,,,43,8.13,2.307925724754699,,
,,,,44,8.13,2.307925724754699,,
,,,,45,8.13,2.307925724754699,,
,,,,46,8.13,2.307925724754699,,
,,,,47,8.13,2.307925724754699,,
,,,,48,8.13,2.307925724754699,,
,,,,49,8.13,2.307925724754699,,
,,,,50,,,,
